model,size,download_gb,tok_s,ttft_ms,total_time_s,tokens_generated,gpu_temp_c
qwen2.5:1.5b,1.5B,,173.25,11.8,1.734337,256,51
qwen2.5:3b,3B,,93.49,18.9,2.985592,256,53
qwen2.5:7b,7B,,43.2,34.7,6.219097,256,51
qwen2.5:14b,14B,,22.24,64.6,11.862176,256,50
gemma4:latest,27B,,55.03,30.1,5.001626,256,55
qwen2.5:32b,32B,,10.0,134.1,26.011029,256,53
qwen2.5:72b,72B,,4.24,296.0,61.242510,256,59
